Transaction_ID,Date,Store_ID,Category,Sales_Amount,Transaction_Type,Customer_ID,Net_Revenue
TXN_000021,2025-10-29 19:52:39.461045,STORE_005,Electronics,115.86,Sale,CUST_0095,115.86
TXN_000022,2025-10-29 20:08:39.461045,STORE_001,Electronics,26.21,Sale,CUST_0539,26.21
TXN_000023,2025-10-29 20:51:39.461045,STORE_010,Home Goods,124.34,Sale,CUST_4274,124.34
TXN_000024,2025-10-29 20:53:39.461045,STORE_006,Clothing,216.9,Sale,CUST_2179,216.9
TXN_000025,2025-10-29 21:05:39.461045,STORE_009,Clothing,140.77,Sale,CUST_1032,140.77
TXN_000026,2025-10-29 21:06:39.461045,STORE_001,Groceries,77.36,Sale,CUST_1825,77.36
TXN_000027,2025-10-29 21:16:39.461045,STORE_010,Electronics,89.49,Sale,CUST_1782,89.49
TXN_000028,2025-10-29 21:18:39.461045,STORE_003,Home Goods,73.21,Sale,CUST_2704,73.21
TXN_000029,2025-10-29 21:18:39.461045,STORE_007,Home Goods,52.43,Sale,CUST_4322,52.43
TXN_000030,2025-10-29 21:22:39.461045,STORE_004,Electronics,33.53,Sale,CUST_2236,33.53
TXN_000031,2025-10-29 21:31:39.461045,STORE_009,Home Goods,59.62,Sale,CUST_3674,59.62
TXN_000032,2025-10-29 21:34:39.461045,STORE_003,Electronics,98.35,Sale,CUST_2509,98.35
TXN_000033,2025-10-29 21:52:39.461045,STORE_005,Clothing,223.52,Sale,CUST_1341,223.52
TXN_000034,2025-10-29 21:59:39.461045,STORE_003,Clothing,68.35,Sale,CUST_1294,68.35
TXN_000035,2025-10-29 22:02:39.461045,STORE_007,Home Goods,70.25,Sale,CUST_4713,70.25
TXN_000036,2025-10-29 22:04:39.461045,STORE_005,Clothing,50.28,Sale,CUST_4414,50.28
TXN_000037,2025-10-29 22:40:39.461045,STORE_009,Clothing,242.68,Sale,CUST_1986,242.68
TXN_000038,2025-10-29 22:51:39.461045,STORE_007,Groceries,79.18,Sale,CUST_2647,79.18
TXN_000039,2025-10-29 22:55:39.461045,STORE_002,Electronics,140.51,Sale,CUST_3419,140.51
TXN_000040,2025-10-29 23:00:39.461045,STORE_004,Electronics,121.64,Sale,CUST_3404,121.64
TXN_000041,2025-10-29 23:13:39.461045,STORE_009,Home Goods,147.93,Sale,CUST_3943,147.93
TXN_000042,2025-10-29 23:16:39.461045,STORE_002,Electronics,148.4,Sale,CUST_3905,148.4
TXN_000043,2025-10-29 23:22:39.461045,STORE_010,Groceries,70.65,Sale,CUST_0676,70.65
TXN_000044,2025-10-29 23:27:39.461045,STORE_009,Home Goods,55.34,Sale,CUST_2892,55.34
TXN_000045,2025-10-29 23:32:39.461045,STORE_010,Home Goods,242.32,Sale,CUST_2042,242.32
TXN_000046,2025-10-29 23:35:39.461045,STORE_005,Electronics,54.81,Sale,CUST_4876,54.81
TXN_000047,2025-10-29 23:56:39.461045,STORE_002,Clothing,88.04,Sale,CUST_0163,88.04
TXN_000048,2025-10-30 00:23:39.461045,STORE_004,Clothing,46.42,Sale,CUST_1383,46.42
TXN_000049,2025-10-30 00:27:39.461045,STORE_007,Clothing,144.7,Sale,CUST_1362,144.7
TXN_000050,2025-10-30 00:41:39.461045,STORE_008,Clothing,66.59,Sale,CUST_3534,66.59
TXN_000051,2025-10-30 00:43:39.461045,STORE_003,Groceries,51.18,Sale,CUST_1340,51.18
TXN_000052,2025-10-30 01:15:39.461045,STORE_001,Home Goods,91.85,Sale,CUST_2468,91.85
TXN_000053,2025-10-30 01:41:39.461045,STORE_004,Clothing,205.29,Sale,CUST_3810,205.29
TXN_000054,2025-10-30 01:42:39.461045,STORE_002,Groceries,45.24,Sale,CUST_1936,45.24
TXN_000055,2025-10-30 01:47:39.461045,STORE_008,Home Goods,157.62,Sale,CUST_3299,157.62
TXN_000056,2025-10-30 01:59:39.461045,STORE_004,Electronics,47.94,Sale,CUST_2658,47.94
TXN_000057,2025-10-30 02:10:39.461045,STORE_002,Electronics,12.49,Sale,CUST_0087,12.49
TXN_000058,2025-10-30 02:18:39.461045,STORE_006,Groceries,97.59,Sale,CUST_0350,97.59
TXN_000059,2025-10-30 02:26:39.461045,STORE_006,Home Goods,38.69,Sale,CUST_1662,38.69
TXN_000060,2025-10-30 02:50:39.461045,STORE_010,Clothing,51.15,Sale,CUST_1174,51.15
TXN_000061,2025-10-30 03:02:39.461045,STORE_004,Home Goods,34.23,Sale,CUST_4958,34.23
TXN_000062,2025-10-30 03:04:39.461045,STORE_006,Clothing,261.39,Sale,CUST_4611,261.39
TXN_000063,2025-10-30 03:10:39.461045,STORE_002,Groceries,97.97,Sale,CUST_0131,97.97
TXN_000064,2025-10-30 03:40:39.461045,STORE_010,Clothing,67.56,Sale,CUST_4708,67.56
TXN_000065,2025-10-30 03:43:39.461045,STORE_002,Groceries,33.39,Sale,CUST_0311,33.39
TXN_000066,2025-10-30 04:01:39.461045,STORE_010,Home Goods,88.36,Refund,CUST_0456,-88.36
TXN_000067,2025-10-30 04:22:39.461045,STORE_004,Home Goods,163.41,Sale,CUST_3542,163.41
TXN_000068,2025-10-30 04:24:39.461045,STORE_008,Clothing,104.15,Refund,CUST_2463,-104.15
TXN_000069,2025-10-30 04:49:39.461045,STORE_007,Home Goods,185.75,Sale,CUST_3714,185.75
TXN_000070,2025-10-30 04:56:39.461045,STORE_009,Clothing,282.99,Sale,CUST_3331,282.99
TXN_000071,2025-10-30 05:02:39.461045,STORE_008,Home Goods,72.26,Sale,CUST_0554,72.26
TXN_000072,2025-10-30 05:06:39.461045,STORE_005,Electronics,53.89,Sale,CUST_2554,53.89
TXN_000073,2025-10-30 05:07:39.461045,STORE_002,Clothing,274.14,Sale,CUST_2467,274.14
TXN_000074,2025-10-30 05:28:39.461045,STORE_005,Groceries,116.92,Sale,CUST_1194,116.92
TXN_000075,2025-10-30 05:36:39.461045,STORE_008,Electronics,81.5,Sale,CUST_3700,81.5
TXN_000076,2025-10-30 06:05:39.461045,STORE_010,Groceries,209.55,Sale,CUST_4123,209.55
TXN_000077,2025-10-30 06:10:39.461045,STORE_009,Home Goods,15.86,Sale,CUST_4005,15.86
TXN_000078,2025-10-30 06:13:39.461045,STORE_009,Electronics,80.15,Sale,CUST_2044,80.15
TXN_000079,2025-10-30 06:14:39.461045,STORE_001,Home Goods,79.72,Sale,CUST_2662,79.72
TXN_000080,2025-10-30 06:17:39.461045,STORE_009,Clothing,184.97,Sale,CUST_2606,184.97
TXN_000081,2025-10-30 06:25:39.461045,STORE_007,Groceries,192.71,Sale,CUST_2129,192.71
TXN_000082,2025-10-30 06:27:39.461045,STORE_009,Home Goods,255.81,Sale,CUST_0431,255.81
TXN_000083,2025-10-30 06:47:39.461045,STORE_008,Groceries,48.33,Sale,CUST_2328,48.33
TXN_000084,2025-10-30 06:50:39.461045,STORE_001,Groceries,136.67,Sale,CUST_1443,136.67
TXN_000085,2025-10-30 07:01:39.461045,STORE_008,Home Goods,20.97,Sale,CUST_2037,20.97
TXN_000086,2025-10-30 07:37:39.461045,STORE_008,Clothing,98.03,Sale,CUST_1024,98.03
TXN_000087,2025-10-30 16:49:39.461045,STORE_003,Groceries,49.82,Sale,CUST_3282,49.82
TXN_000088,2025-10-30 17:21:39.461045,STORE_001,Home Goods,73.01,Sale,CUST_4037,73.01
TXN_000089,2025-10-30 17:37:39.461045,STORE_008,Clothing,234.84,Sale,CUST_4905,234.84
TXN_000090,2025-10-30 01:52:39.461045,STORE_003,Home Goods,1050.45,Refund,CUST_1177,-1050.45
TXN_000091,2025-10-30 18:05:39.461045,STORE_003,Clothing,30.4,Sale,CUST_0502,30.4
TXN_000092,2025-10-30 00:11:39.461045,STORE_001,Groceries,1931.98,Refund,CUST_3547,-1931.98
TXN_000093,2025-10-30 18:14:39.461045,STORE_005,Electronics,8.64,Sale,CUST_3629,8.64
TXN_000094,2025-10-30 18:16:39.461045,STORE_010,Home Goods,59.06,Sale,CUST_2980,59.06
TXN_000095,2025-10-30 18:31:39.461045,STORE_007,Groceries,10.69,Sale,CUST_2193,10.69
TXN_000096,2025-10-30 18:43:39.461045,STORE_010,Home Goods,24.51,Sale,CUST_4677,24.51
TXN_000097,2025-10-30 18:57:39.461045,STORE_009,Home Goods,10.46,Sale,CUST_1841,10.46
TXN_000098,2025-10-30 00:03:39.461045,STORE_007,Clothing,1063.21,Refund,CUST_1610,-1063.21
TXN_000099,2025-10-30 19:11:39.461045,STORE_009,Home Goods,96.46,Sale,CUST_2505,96.46
TXN_000100,2025-10-30 19:37:39.461045,STORE_008,Clothing,20.66,Sale,CUST_1894,20.66
TXN_000101,2025-10-30 19:39:39.461045,STORE_002,Groceries,15.66,Sale,CUST_4707,15.66
TXN_000102,2025-10-30 19:39:39.461045,STORE_001,Home Goods,57.33,Sale,CUST_3279,57.33
TXN_000103,2025-10-30 19:40:39.461045,STORE_007,Groceries,82.13,Sale,CUST_4813,82.13
TXN_000104,2025-10-30 19:47:39.461045,STORE_007,Electronics,305.73,Sale,CUST_0158,305.73
TXN_000105,2025-10-30 19:47:39.461045,STORE_008,Groceries,8.92,Sale,CUST_2271,8.92
TXN_000106,2025-10-30 20:07:39.461045,STORE_005,Home Goods,27.51,Sale,CUST_2618,27.51
TXN_000107,2025-10-30 20:32:39.461045,STORE_003,Electronics,177.32,Sale,CUST_1737,177.32
TXN_000108,2025-10-30 20:40:39.461045,STORE_008,Clothing,166.72,Sale,CUST_4833,166.72
TXN_000109,2025-10-30 20:41:39.461045,STORE_006,Electronics,132.05,Sale,CUST_1501,132.05
TXN_000110,2025-10-30 20:44:39.461045,STORE_003,Home Goods,129.76,Sale,CUST_2841,129.76
TXN_000111,2025-10-30 20:46:39.461045,STORE_001,Home Goods,104.5,Sale,CUST_1430,104.5
TXN_000112,2025-10-30 21:03:39.461045,STORE_003,Groceries,108.55,Sale,CUST_4206,108.55
TXN_000113,2025-10-30 21:11:39.461045,STORE_005,Clothing,90.26,Sale,CUST_3841,90.26
TXN_000114,2025-10-30 21:28:39.461045,STORE_003,Home Goods,102.86,Sale,CUST_4571,102.86
TXN_000115,2025-10-30 21:32:39.461045,STORE_001,Home Goods,86.34,Sale,CUST_1823,86.34
TXN_000116,2025-10-30 21:37:39.461045,STORE_005,Clothing,316.51,Sale,CUST_2740,316.51
TXN_000117,2025-10-30 21:45:39.461045,STORE_010,Clothing,105.3,Sale,CUST_3742,105.3
TXN_000118,2025-10-30 21:47:39.461045,STORE_007,Groceries,34.0,Sale,CUST_1624,34.0
TXN_000119,2025-10-30 22:03:39.461045,STORE_007,Electronics,27.29,Sale,CUST_2033,27.29
TXN_000120,2025-10-30 22:03:39.461045,STORE_009,Clothing,99.31,Sale,CUST_4186,99.31
TXN_000121,2025-10-30 22:07:39.461045,STORE_010,Home Goods,62.41,Sale,CUST_0808,62.41
TXN_000122,2025-10-30 22:09:39.461045,STORE_010,Clothing,4.55,Sale,CUST_1814,4.55
TXN_000123,2025-10-30 22:19:39.461045,STORE_003,Home Goods,115.37,Sale,CUST_2018,115.37
TXN_000124,2025-10-30 22:31:39.461045,STORE_007,Groceries,42.8,Sale,CUST_0162,42.8
TXN_000125,2025-10-30 22:43:39.461045,STORE_001,Electronics,99.26,Sale,CUST_3944,99.26
TXN_000126,2025-10-30 22:44:39.461045,STORE_004,Groceries,85.78,Refund,CUST_1905,-85.78
TXN_000127,2025-10-30 23:02:39.461045,STORE_004,Clothing,63.03,Sale,CUST_2272,63.03
TXN_000128,2025-10-30 23:09:39.461045,STORE_005,Home Goods,37.44,Sale,CUST_2789,37.44
TXN_000129,2025-10-30 23:11:39.461045,STORE_007,Clothing,101.48,Sale,CUST_2037,101.48
TXN_000130,2025-10-30 23:25:39.461045,STORE_007,Clothing,93.36,Sale,CUST_1706,93.36
TXN_000131,2025-10-30 23:28:39.461045,STORE_004,Clothing,49.62,Sale,CUST_0414,49.62
TXN_000132,2025-10-30 23:48:39.461045,STORE_007,Clothing,111.49,Sale,CUST_1482,111.49
TXN_000133,2025-10-31 00:04:39.461045,STORE_003,Electronics,64.15,Sale,CUST_1885,64.15
TXN_000134,2025-10-31 00:09:39.461045,STORE_006,Home Goods,81.71,Sale,CUST_3467,81.71
TXN_000135,2025-10-31 00:41:39.461045,STORE_002,Clothing,42.22,Sale,CUST_2542,42.22
TXN_000136,2025-10-31 00:47:39.461045,STORE_010,Home Goods,128.92,Sale,CUST_0832,128.92
TXN_000137,2025-10-31 01:02:39.461045,STORE_009,Electronics,198.18,Sale,CUST_1465,198.18
TXN_000138,2025-10-31 01:03:39.461045,STORE_005,Home Goods,80.81,Sale,CUST_1250,80.81
TXN_000139,2025-10-31 01:11:39.461045,STORE_006,Home Goods,108.81,Sale,CUST_2402,108.81
TXN_000140,2025-10-31 01:11:39.461045,STORE_004,Electronics,12.42,Sale,CUST_3897,12.42
TXN_000141,2025-10-31 01:15:39.461045,STORE_010,Clothing,71.31,Sale,CUST_2077,71.31
TXN_000142,2025-10-31 01:16:39.461045,STORE_007,Home Goods,128.18,Sale,CUST_0178,128.18
TXN_000143,2025-10-31 01:30:39.461045,STORE_009,Groceries,130.87,Sale,CUST_4670,130.87
TXN_000144,2025-10-31 01:44:39.461045,STORE_007,Home Goods,74.12,Sale,CUST_4414,74.12
TXN_000145,2025-10-31 02:07:39.461045,STORE_001,Clothing,28.03,Sale,CUST_3067,28.03
TXN_000146,2025-10-31 02:14:39.461045,STORE_001,Groceries,151.3,Sale,CUST_1564,151.3
TXN_000147,2025-10-31 02:19:39.461045,STORE_009,Clothing,161.26,Sale,CUST_3758,161.26
TXN_000148,2025-10-31 02:21:39.461045,STORE_009,Home Goods,121.69,Sale,CUST_1289,121.69
TXN_000149,2025-10-31 02:25:39.461045,STORE_004,Electronics,85.93,Sale,CUST_0451,85.93
TXN_000150,2025-10-31 02:26:39.461045,STORE_009,Clothing,26.1,Sale,CUST_1981,26.1
TXN_000151,2025-10-31 02:41:39.461045,STORE_003,Clothing,217.99,Sale,CUST_1886,217.99
TXN_000152,2025-10-31 02:44:39.461045,STORE_007,Electronics,109.21,Sale,CUST_2842,109.21
TXN_000153,2025-10-31 03:25:39.461045,STORE_006,Home Goods,38.66,Sale,CUST_0368,38.66
TXN_000154,2025-10-31 03:36:39.461045,STORE_008,Clothing,17.37,Sale,CUST_2656,17.37
TXN_000155,2025-10-31 03:50:39.461045,STORE_009,Home Goods,13.65,Refund,CUST_0595,-13.65
TXN_000156,2025-10-31 04:15:39.461045,STORE_005,Home Goods,99.16,Sale,CUST_3275,99.16
TXN_000157,2025-10-31 04:41:39.461045,STORE_001,Home Goods,164.63,Sale,CUST_0395,164.63
TXN_000158,2025-10-31 05:19:39.461045,STORE_003,Electronics,157.23,Sale,CUST_1029,157.23
TXN_000159,2025-10-31 05:39:39.461045,STORE_010,Home Goods,40.38,Sale,CUST_2037,40.38
TXN_000160,2025-10-31 05:45:39.461045,STORE_008,Home Goods,205.03,Sale,CUST_1082,205.03
TXN_000161,2025-10-31 05:45:39.461045,STORE_006,Groceries,220.92,Sale,CUST_2676,220.92
TXN_000162,2025-10-31 05:47:39.461045,STORE_008,Groceries,153.36,Sale,CUST_0786,153.36
TXN_000163,2025-10-31 06:12:39.461045,STORE_009,Groceries,16.56,Sale,CUST_0233,16.56
TXN_000164,2025-10-31 06:43:39.461045,STORE_004,Clothing,57.79,Sale,CUST_3994,57.79
TXN_000165,2025-10-31 06:48:39.461045,STORE_001,Clothing,76.28,Sale,CUST_0736,76.28
TXN_000166,2025-10-31 06:50:39.461045,STORE_001,Groceries,144.41,Sale,CUST_2996,144.41
TXN_000167,2025-10-31 06:52:39.461045,STORE_010,Electronics,155.49,Sale,CUST_2921,155.49
TXN_000168,2025-10-31 06:53:39.461045,STORE_004,Electronics,109.34,Sale,CUST_2657,109.34
TXN_000169,2025-10-31 07:41:39.461045,STORE_007,Groceries,84.8,Sale,CUST_4378,84.8
TXN_000170,2025-10-31 07:46:39.461045,STORE_002,Clothing,72.34,Sale,CUST_4085,72.34
TXN_000171,2025-10-31 17:05:39.461045,STORE_003,Clothing,95.61,Sale,CUST_0444,95.61
TXN_000172,2025-10-31 17:07:39.461045,STORE_001,Electronics,39.06,Sale,CUST_4815,39.06
TXN_000173,2025-10-31 17:17:39.461045,STORE_005,Home Goods,158.11,Sale,CUST_2186,158.11
TXN_000174,2025-10-31 03:25:39.461045,STORE_001,Electronics,926.94,Refund,CUST_0429,-926.94
TXN_000175,2025-10-31 17:32:39.461045,STORE_008,Home Goods,46.55,Sale,CUST_2240,46.55
TXN_000176,2025-10-31 18:12:39.461045,STORE_001,Clothing,12.21,Sale,CUST_1245,12.21
TXN_000177,2025-10-31 18:15:39.461045,STORE_001,Clothing,46.04,Sale,CUST_1248,46.04
TXN_000178,2025-10-31 18:19:39.461045,STORE_002,Groceries,94.07,Sale,CUST_2451,94.07
TXN_000179,2025-10-31 18:28:39.461045,STORE_002,Clothing,220.55,Sale,CUST_2793,220.55
TXN_000180,2025-10-31 18:29:39.461045,STORE_006,Home Goods,45.83,Sale,CUST_3222,45.83
TXN_000181,2025-10-31 18:49:39.461045,STORE_007,Electronics,69.25,Sale,CUST_2504,69.25
TXN_000182,2025-10-31 18:52:39.461045,STORE_005,Groceries,113.61,Sale,CUST_0584,113.61
TXN_000183,2025-10-31 18:54:39.461045,STORE_001,Home Goods,64.35,Sale,CUST_0645,64.35
TXN_000184,2025-10-31 19:08:39.461045,STORE_001,Electronics,167.1,Sale,CUST_4864,167.1
TXN_000185,2025-10-31 19:11:39.461045,STORE_003,Electronics,11.99,Sale,CUST_1281,11.99
TXN_000186,2025-10-31 19:14:39.461045,STORE_002,Electronics,123.96,Sale,CUST_3042,123.96
TXN_000187,2025-10-31 19:14:39.461045,STORE_005,Clothing,90.84,Sale,CUST_3050,90.84
TXN_000188,2025-10-31 19:21:39.461045,STORE_010,Electronics,41.39,Sale,CUST_0718,41.39
TXN_000189,2025-10-31 19:22:39.461045,STORE_006,Clothing,144.89,Sale,CUST_1079,144.89
TXN_000190,2025-10-31 19:23:39.461045,STORE_007,Electronics,149.19,Sale,CUST_2628,149.19
TXN_000191,2025-10-31 19:48:39.461045,STORE_004,Electronics,35.03,Sale,CUST_1906,35.03
TXN_000192,2025-10-31 19:53:39.461045,STORE_007,Clothing,108.51,Sale,CUST_4184,108.51
TXN_000193,2025-10-31 19:58:39.461045,STORE_008,Clothing,87.01,Sale,CUST_0292,87.01
TXN_000194,2025-10-31 20:00:39.461045,STORE_001,Home Goods,13.33,Sale,CUST_3984,13.33
TXN_000195,2025-10-31 20:16:39.461045,STORE_006,Electronics,103.79,Sale,CUST_4235,103.79
TXN_000196,2025-10-31 20:24:39.461045,STORE_008,Clothing,237.31,Sale,CUST_0618,237.31
TXN_000197,2025-10-31 20:48:39.461045,STORE_005,Home Goods,102.54,Sale,CUST_4804,102.54
TXN_000198,2025-10-31 20:55:39.461045,STORE_004,Home Goods,69.67,Sale,CUST_0747,69.67
TXN_000199,2025-10-31 20:57:39.461045,STORE_002,Clothing,164.77,Sale,CUST_2044,164.77
TXN_000200,2025-10-31 21:04:39.461045,STORE_006,Electronics,128.72,Sale,CUST_2829,128.72
TXN_000201,2025-10-31 21:24:39.461045,STORE_006,Home Goods,34.91,Sale,CUST_0175,34.91
TXN_000202,2025-10-31 21:25:39.461045,STORE_001,Electronics,97.98,Sale,CUST_2862,97.98
TXN_000203,2025-10-31 21:29:39.461045,STORE_009,Electronics,61.5,Sale,CUST_1829,61.5
TXN_000204,2025-10-31 21:29:39.461045,STORE_006,Home Goods,31.47,Refund,CUST_2541,-31.47
TXN_000205,2025-10-31 21:47:39.461045,STORE_003,Clothing,185.07,Sale,CUST_2081,185.07
TXN_000206,2025-10-31 21:50:39.461045,STORE_004,Electronics,109.09,Sale,CUST_0561,109.09
TXN_000207,2025-10-31 22:00:39.461045,STORE_004,Groceries,120.76,Sale,CUST_3854,120.76
TXN_000208,2025-10-31 22:24:39.461045,STORE_003,Clothing,64.91,Sale,CUST_0902,64.91
TXN_000209,2025-10-31 22:34:39.461045,STORE_010,Home Goods,71.45,Sale,CUST_2730,71.45
TXN_000210,2025-10-31 22:36:39.461045,STORE_003,Groceries,185.45,Sale,CUST_4074,185.45
TXN_000211,2025-10-31 22:42:39.461045,STORE_003,Electronics,76.44,Sale,CUST_2573,76.44
TXN_000212,2025-10-31 22:52:39.461045,STORE_004,Clothing,72.73,Sale,CUST_2933,72.73
TXN_000213,2025-10-31 23:18:39.461045,STORE_007,Groceries,157.52,Sale,CUST_4065,157.52
TXN_000214,2025-10-31 23:30:39.461045,STORE_004,Clothing,90.01,Sale,CUST_0994,90.01
TXN_000215,2025-10-31 23:31:39.461045,STORE_009,Electronics,128.91,Sale,CUST_3214,128.91
TXN_000216,2025-10-31 23:40:39.461045,STORE_001,Clothing,159.8,Sale,CUST_3541,159.8
TXN_000217,2025-10-31 23:41:39.461045,STORE_008,Groceries,82.23,Sale,CUST_1890,82.23
TXN_000218,2025-10-31 23:55:39.461045,STORE_007,Clothing,53.84,Sale,CUST_1423,53.84
TXN_000219,2025-11-01 00:29:39.461045,STORE_002,Home Goods,12.45,Refund,CUST_4219,-12.45
TXN_000220,2025-11-01 00:29:39.461045,STORE_008,Home Goods,54.05,Sale,CUST_1077,54.05
TXN_000221,2025-11-01 00:39:39.461045,STORE_001,Groceries,31.56,Sale,CUST_2275,31.56
TXN_000222,2025-11-01 00:42:39.461045,STORE_009,Clothing,108.19,Sale,CUST_3356,108.19
TXN_000223,2025-11-01 00:47:39.461045,STORE_009,Groceries,48.29,Sale,CUST_2016,48.29
TXN_000224,2025-11-01 00:59:39.461045,STORE_002,Clothing,29.58,Sale,CUST_0143,29.58
TXN_000225,2025-11-01 01:06:39.461045,STORE_007,Electronics,24.73,Sale,CUST_3528,24.73
TXN_000226,2025-11-01 01:21:39.461045,STORE_010,Home Goods,88.44,Sale,CUST_0986,88.44
TXN_000227,2025-11-01 01:38:39.461045,STORE_003,Electronics,109.56,Sale,CUST_3363,109.56
TXN_000228,2025-11-01 00:38:39.461045,STORE_007,Clothing,1238.92,Refund,CUST_1099,-1238.92
TXN_000229,2025-11-01 01:48:39.461045,STORE_010,Electronics,27.43,Sale,CUST_0610,27.43
TXN_000230,2025-11-01 01:50:39.461045,STORE_009,Groceries,32.36,Sale,CUST_4395,32.36
TXN_000231,2025-11-01 02:03:39.461045,STORE_004,Groceries,63.15,Sale,CUST_2988,63.15
TXN_000232,2025-11-01 02:10:39.461045,STORE_001,Clothing,97.13,Sale,CUST_3544,97.13
TXN_000233,2025-11-01 02:20:39.461045,STORE_002,Home Goods,66.59,Sale,CUST_1946,66.59
TXN_000234,2025-11-01 02:22:39.461045,STORE_001,Groceries,46.68,Sale,CUST_2589,46.68
TXN_000235,2025-11-01 02:43:39.461045,STORE_005,Home Goods,72.11,Sale,CUST_1077,72.11
TXN_000236,2025-11-01 03:03:39.461045,STORE_005,Clothing,110.09,Sale,CUST_0076,110.09
TXN_000237,2025-11-01 03:11:39.461045,STORE_007,Home Goods,68.09,Refund,CUST_0007,-68.09
TXN_000238,2025-11-01 03:17:39.461045,STORE_009,Clothing,149.29,Sale,CUST_3754,149.29
TXN_000239,2025-11-01 03:32:39.461045,STORE_009,Electronics,165.99,Sale,CUST_3571,165.99
TXN_000240,2025-11-01 03:34:39.461045,STORE_003,Clothing,58.69,Sale,CUST_0600,58.69
TXN_000241,2025-11-01 04:46:39.461045,STORE_003,Electronics,148.35,Sale,CUST_2562,148.35
TXN_000242,2025-11-01 04:49:39.461045,STORE_003,Clothing,112.4,Sale,CUST_0341,112.4
TXN_000243,2025-11-01 04:54:39.461045,STORE_004,Groceries,221.21,Sale,CUST_2369,221.21
TXN_000244,2025-11-01 04:54:39.461045,STORE_008,Groceries,45.97,Sale,CUST_1261,45.97
TXN_000245,2025-11-01 04:59:39.461045,STORE_006,Home Goods,275.68,Sale,CUST_0449,275.68
TXN_000246,2025-11-01 05:07:39.461045,STORE_008,Clothing,14.47,Sale,CUST_2576,14.47
TXN_000247,2025-11-01 05:16:39.461045,STORE_001,Clothing,50.0,Sale,CUST_4974,50.0
TXN_000248,2025-11-01 06:05:39.461045,STORE_008,Clothing,18.55,Sale,CUST_4607,18.55
TXN_000249,2025-11-01 06:10:39.461045,STORE_004,Home Goods,262.39,Sale,CUST_3158,262.39
TXN_000250,2025-11-01 06:15:39.461045,STORE_001,Groceries,164.64,Sale,CUST_4104,164.64
TXN_000251,2025-11-01 06:53:39.461045,STORE_008,Clothing,130.93,Sale,CUST_2937,130.93
TXN_000252,2025-11-01 06:59:39.461045,STORE_004,Home Goods,207.4,Sale,CUST_3441,207.4
TXN_000253,2025-11-01 07:05:39.461045,STORE_006,Clothing,59.58,Sale,CUST_4880,59.58
TXN_000254,2025-11-01 07:25:39.461045,STORE_008,Electronics,16.36,Sale,CUST_3649,16.36
TXN_000255,2025-11-01 07:37:39.461045,STORE_004,Clothing,86.29,Sale,CUST_3774,86.29
TXN_000256,2025-11-01 07:39:39.461045,STORE_003,Electronics,20.14,Sale,CUST_0634,20.14
TXN_000257,2025-11-01 07:39:39.461045,STORE_009,Home Goods,91.66,Sale,CUST_2508,91.66
TXN_000258,2025-11-01 07:43:39.461045,STORE_003,Home Goods,272.94,Sale,CUST_1556,272.94
TXN_000259,2025-11-01 07:47:39.461045,STORE_009,Groceries,83.08,Sale,CUST_1768,83.08
TXN_000260,2025-11-01 16:48:39.461045,STORE_002,Clothing,256.53,Sale,CUST_3461,256.53
